scope,board_size,model,language_representation,reasoning_effort,sampling_round,metric_category,metric_name,count,denominator,rate,value
overall,,,,,,outcome,passed,4,5,0.8,
overall,,,,,,outcome,failed,1,5,0.2,
overall,,,,,,outcome,transport_errors,1,6,0.16666666666666666,
overall,,,,,,primary_failure,truncated,1,1,1.0,
overall,,,,,,format_robust,passed,4,5,0.8,
overall,,,,,,format_robust,recovered,0,5,0.0,
overall,,,,,,format_robust_failure,truncated,1,5,0.2,
overall,,,,,,failed_constraint,parse_ok,1,5,0.2,
overall,,,,,,failed_constraint,sequence_valid,1,5,0.2,
overall,,,,,,failed_constraint,min_length_fulfilled,1,5,0.2,
overall,,,,,,failed_constraint,spatial_valid,1,5,0.2,
overall,,,,,,failed_constraint,overlap_valid,1,5,0.2,
overall,,,,,,failed_constraint,no_word_extension,1,5,0.2,
overall,,,,,,failed_constraint,cross_words_valid,0,5,0.0,
overall,,,,,,failed_constraint,rack_valid,0,5,0.0,
overall,,,,,,timing,request_elapsed_seconds_mean,,,,1046.6823398331665
overall,,,,,,timing,request_elapsed_seconds_median,,,,318.61385637499916
overall,,,,,,timing,request_elapsed_seconds_min,,,,195.30128383399278
overall,,,,,,timing,request_elapsed_seconds_max,,,,4251.426250499018
overall,,,,,,timing,request_elapsed_seconds_sum,,,,6280.094038998999
overall,,,,,,timing,llm_elapsed_seconds_mean,,,,275.47453209999657
overall,,,,,,timing,llm_elapsed_seconds_median,,,,288.8863182920031
overall,,,,,,timing,llm_elapsed_seconds_min,,,,195.30128383399278
overall,,,,,,timing,llm_elapsed_seconds_max,,,,348.3413944579952
overall,,,,,,timing,llm_elapsed_seconds_sum,,,,1377.3726604999829
overall,,,,,,timing,llm_elapsed_seconds_total_mean,,,,405.73355769999614
overall,,,,,,timing,llm_elapsed_seconds_total_median,,,,288.8863182920031
overall,,,,,,timing,llm_elapsed_seconds_total_min,,,,195.30128383399278
overall,,,,,,timing,llm_elapsed_seconds_total_max,,,,976.8888615829928
overall,,,,,,timing,llm_elapsed_seconds_total_sum,,,,2028.6677884999808
overall,,,,,,timing,retry_wait_seconds_total_mean,,,,0.35110473235558315
overall,,,,,,timing,retry_wait_seconds_total_median,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_min,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_max,,,,1.7555236617779157
overall,,,,,,timing,retry_wait_seconds_total_sum,,,,1.7555236617779157
overall,,,,,,timing,provider_processing_ms_mean,,,,273742.8
overall,,,,,,timing,provider_processing_ms_median,,,,286829.0
overall,,,,,,timing,provider_processing_ms_min,,,,193099.0
overall,,,,,,timing,provider_processing_ms_max,,,,346315.0
overall,,,,,,timing,provider_processing_ms_sum,,,,1368714.0
overall,,,,,,usage,prompt_tokens_mean,,,,63905.0
overall,,,,,,usage,prompt_tokens_median,,,,79316.0
overall,,,,,,usage,prompt_tokens_min,,,,40068.0
overall,,,,,,usage,prompt_tokens_max,,,,80071.0
overall,,,,,,usage,prompt_tokens_sum,,,,319525.0
overall,,,,,,usage,completion_tokens_mean,,,,23876.0
overall,,,,,,usage,completion_tokens_median,,,,24999.0
overall,,,,,,usage,completion_tokens_min,,,,17639.0
overall,,,,,,usage,completion_tokens_max,,,,32384.0
overall,,,,,,usage,completion_tokens_sum,,,,119380.0
overall,,,,,,usage,reasoning_tokens_mean,,,,23846.4
overall,,,,,,usage,reasoning_tokens_median,,,,24960.0
overall,,,,,,usage,reasoning_tokens_min,,,,17600.0
overall,,,,,,usage,reasoning_tokens_max,,,,32384.0
overall,,,,,,usage,reasoning_tokens_sum,,,,119232.0
overall,,,,,,usage,total_tokens_mean,,,,87781.0
overall,,,,,,usage,total_tokens_median,,,,98604.0
overall,,,,,,usage,total_tokens_min,,,,57707.0
overall,,,,,,usage,total_tokens_max,,,,105211.0
overall,,,,,,usage,total_tokens_sum,,,,438905.0
overall,,,,,,quality,rack_symbols_used_mean,,,,3.0
overall,,,,,,quality,rack_symbols_used_median,,,,4.0
overall,,,,,,quality,rack_symbols_used_min,,,,0.0
overall,,,,,,quality,rack_symbols_used_max,,,,5.0
overall,,,,,,quality,rack_symbols_used_sum,,,,15.0
overall,,,,,,quality,rack_usage_ratio_mean,,,,0.64
overall,,,,,,quality,rack_usage_ratio_median,,,,0.8
overall,,,,,,quality,rack_usage_ratio_min,,,,0.0
overall,,,,,,quality,rack_usage_ratio_max,,,,1.0
overall,,,,,,quality,rack_usage_ratio_sum,,,,3.2
overall,,,,,,quality,main_word_length_mean,,,,4.75
overall,,,,,,quality,main_word_length_median,,,,5.0
overall,,,,,,quality,main_word_length_min,,,,3.0
overall,,,,,,quality,main_word_length_max,,,,6.0
overall,,,,,,quality,main_word_length_sum,,,,19.0
overall,,,,,,quality,overlap_count_mean,,,,1.0
overall,,,,,,quality,overlap_count_median,,,,1.0
overall,,,,,,quality,overlap_count_min,,,,1.0
overall,,,,,,quality,overlap_count_max,,,,1.0
overall,,,,,,quality,overlap_count_sum,,,,4.0
overall,,,,,,quality,letter_score_total_mean,,,,9.75
overall,,,,,,quality,letter_score_total_median,,,,9.5
overall,,,,,,quality,letter_score_total_min,,,,6.0
overall,,,,,,quality,letter_score_total_max,,,,14.0
overall,,,,,,quality,letter_score_total_sum,,,,39.0
group,450,openai_gpt-5,forbidden-snippets,high,,outcome,passed,1,2,0.5,
group,450,openai_gpt-5,forbidden-snippets,high,,outcome,failed,1,2,0.5,
group,450,openai_gpt-5,forbidden-snippets,high,,outcome,transport_errors,1,3,0.3333333333333333,
