scope,board_size,model,language_representation,reasoning_effort,sampling_round,metric_category,metric_name,count,denominator,rate,value
overall,,,,,,outcome,passed,114,195,0.5846153846153846,
overall,,,,,,outcome,failed,81,195,0.4153846153846154,
overall,,,,,,outcome,transport_errors,22,217,0.10138248847926268,
overall,,,,,,primary_failure,missing_overlap,6,81,0.07407407407407407,
overall,,,,,,primary_failure,sequence,6,81,0.07407407407407407,
overall,,,,,,primary_failure,spatial_conflict,3,81,0.037037037037037035,
overall,,,,,,primary_failure,truncated,61,81,0.7530864197530864,
overall,,,,,,primary_failure,word_extension,5,81,0.06172839506172839,
overall,,,,,,format_robust,passed,114,195,0.5846153846153846,
overall,,,,,,format_robust,recovered,0,195,0.0,
overall,,,,,,format_robust_failure,missing_overlap,6,195,0.03076923076923077,
overall,,,,,,format_robust_failure,sequence,6,195,0.03076923076923077,
overall,,,,,,format_robust_failure,spatial_conflict,3,195,0.015384615384615385,
overall,,,,,,format_robust_failure,truncated,61,195,0.3128205128205128,
overall,,,,,,format_robust_failure,word_extension,5,195,0.02564102564102564,
overall,,,,,,failed_constraint,parse_ok,61,195,0.3128205128205128,
overall,,,,,,failed_constraint,sequence_valid,67,195,0.3435897435897436,
overall,,,,,,failed_constraint,min_length_fulfilled,62,195,0.31794871794871793,
overall,,,,,,failed_constraint,spatial_valid,64,195,0.3282051282051282,
overall,,,,,,failed_constraint,overlap_valid,73,195,0.37435897435897436,
overall,,,,,,failed_constraint,no_word_extension,74,195,0.37948717948717947,
overall,,,,,,failed_constraint,cross_words_valid,10,195,0.05128205128205128,
overall,,,,,,failed_constraint,rack_valid,4,195,0.020512820512820513,
overall,,,,,,timing,request_elapsed_seconds_mean,,,,270.61049323961817
overall,,,,,,timing,request_elapsed_seconds_median,,,,232.9881816249981
overall,,,,,,timing,request_elapsed_seconds_min,,,,0.057501250004861504
overall,,,,,,timing,request_elapsed_seconds_max,,,,740.775188582993
overall,,,,,,timing,request_elapsed_seconds_sum,,,,58722.477032997136
overall,,,,,,timing,llm_elapsed_seconds_mean,,,,291.71865132071326
overall,,,,,,timing,llm_elapsed_seconds_median,,,,256.04807304199494
overall,,,,,,timing,llm_elapsed_seconds_min,,,,36.32806875000824
overall,,,,,,timing,llm_elapsed_seconds_max,,,,740.775188582993
overall,,,,,,timing,llm_elapsed_seconds_sum,,,,56885.13700753909
overall,,,,,,timing,llm_elapsed_seconds_total_mean,,,,291.71865132071326
overall,,,,,,timing,llm_elapsed_seconds_total_median,,,,256.04807304199494
overall,,,,,,timing,llm_elapsed_seconds_total_min,,,,36.32806875000824
overall,,,,,,timing,llm_elapsed_seconds_total_max,,,,740.775188582993
overall,,,,,,timing,llm_elapsed_seconds_total_sum,,,,56885.13700753909
overall,,,,,,timing,retry_wait_seconds_total_mean,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_median,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_min,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_max,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_sum,,,,0.0
overall,,,,,,usage,prompt_tokens_mean,,,,26571.502564102564
overall,,,,,,usage,prompt_tokens_median,,,,2491.0
overall,,,,,,usage,prompt_tokens_min,,,,1493.0
overall,,,,,,usage,prompt_tokens_max,,,,109763.0
overall,,,,,,usage,prompt_tokens_sum,,,,5181443.0
overall,,,,,,usage,completion_tokens_mean,,,,22699.4358974359
overall,,,,,,usage,completion_tokens_median,,,,25854.0
overall,,,,,,usage,completion_tokens_min,,,,2624.0
overall,,,,,,usage,completion_tokens_max,,,,32657.0
overall,,,,,,usage,completion_tokens_sum,,,,4426390.0
overall,,,,,,usage,reasoning_tokens_mean,,,,19481.830769230768
overall,,,,,,usage,reasoning_tokens_median,,,,19911.0
overall,,,,,,usage,reasoning_tokens_min,,,,1532.0
overall,,,,,,usage,reasoning_tokens_max,,,,32621.0
overall,,,,,,usage,reasoning_tokens_sum,,,,3798957.0
overall,,,,,,usage,total_tokens_mean,,,,49270.93846153846
overall,,,,,,usage,total_tokens_median,,,,34163.0
overall,,,,,,usage,total_tokens_min,,,,4221.0
overall,,,,,,usage,total_tokens_max,,,,141856.0
overall,,,,,,usage,total_tokens_sum,,,,9607833.0
overall,,,,,,quality,rack_symbols_used_mean,,,,3.1384615384615384
overall,,,,,,quality,rack_symbols_used_median,,,,5.0
overall,,,,,,quality,rack_symbols_used_min,,,,0.0
overall,,,,,,quality,rack_symbols_used_max,,,,6.0
overall,,,,,,quality,rack_symbols_used_sum,,,,612.0
overall,,,,,,quality,rack_usage_ratio_mean,,,,0.6441025641025641
overall,,,,,,quality,rack_usage_ratio_median,,,,1.0
overall,,,,,,quality,rack_usage_ratio_min,,,,0.0
overall,,,,,,quality,rack_usage_ratio_max,,,,1.2
overall,,,,,,quality,rack_usage_ratio_sum,,,,125.6
overall,,,,,,quality,main_word_length_mean,,,,6.0
overall,,,,,,quality,main_word_length_median,,,,6.0
overall,,,,,,quality,main_word_length_min,,,,3.0
overall,,,,,,quality,main_word_length_max,,,,9.0
overall,,,,,,quality,main_word_length_sum,,,,684.0
overall,,,,,,quality,overlap_count_mean,,,,1.2280701754385965
overall,,,,,,quality,overlap_count_median,,,,1.0
overall,,,,,,quality,overlap_count_min,,,,1.0
overall,,,,,,quality,overlap_count_max,,,,4.0
overall,,,,,,quality,overlap_count_sum,,,,140.0
overall,,,,,,quality,letter_score_total_mean,,,,12.789473684210526
overall,,,,,,quality,letter_score_total_median,,,,12.0
overall,,,,,,quality,letter_score_total_min,,,,3.0
overall,,,,,,quality,letter_score_total_max,,,,24.0
overall,,,,,,quality,letter_score_total_sum,,,,1458.0
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,passed,7,7,1.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,failed,0,7,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,transport_errors,0,7,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,format_robust,passed,7,7,1.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,format_robust,recovered,0,7,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,parse_ok,0,7,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,0,7,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,min_length_fulfilled,0,7,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,spatial_valid,0,7,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,overlap_valid,0,7,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,no_word_extension,0,7,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,cross_words_valid,0,7,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,rack_valid,0,7,0.0,
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_mean,,,,119.40578991071172
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_median,,,,118.36417862500821
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_min,,,,80.35780329199042
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_max,,,,151.23136112499924
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_sum,,,,835.840529374982
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_mean,,,,119.40578991071172
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_median,,,,118.36417862500821
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_min,,,,80.35780329199042
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_max,,,,151.23136112499924
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_sum,,,,835.840529374982
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_mean,,,,119.40578991071172
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_median,,,,118.36417862500821
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_min,,,,80.35780329199042
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_max,,,,151.23136112499924
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_sum,,,,835.840529374982
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_mean,,,,0.0
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_median,,,,0.0
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_min,,,,0.0
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_max,,,,0.0
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_sum,,,,0.0
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_mean,,,,2360.285714285714
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_median,,,,2349.0
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_min,,,,2259.0
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_max,,,,2477.0
group,1,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_sum,,,,16522.0
