scope,board_size,model,language_representation,reasoning_effort,sampling_round,metric_category,metric_name,count,denominator,rate,value
overall,,,,,,outcome,passed,6,7,0.8571428571428571,
overall,,,,,,outcome,failed,1,7,0.14285714285714285,
overall,,,,,,outcome,transport_errors,0,7,0.0,
overall,,,,,,primary_failure,sequence,1,1,1.0,
overall,,,,,,format_robust,passed,6,7,0.8571428571428571,
overall,,,,,,format_robust,recovered,0,7,0.0,
overall,,,,,,format_robust_failure,sequence,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,parse_ok,0,7,0.0,
overall,,,,,,failed_constraint,sequence_valid,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,min_length_fulfilled,0,7,0.0,
overall,,,,,,failed_constraint,spatial_valid,0,7,0.0,
overall,,,,,,failed_constraint,overlap_valid,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,no_word_extension,0,7,0.0,
overall,,,,,,failed_constraint,cross_words_valid,1,7,0.14285714285714285,
overall,,,,,,failed_constraint,rack_valid,1,7,0.14285714285714285,
overall,,,,,,timing,request_elapsed_seconds_mean,,,,233.90718679258967
overall,,,,,,timing,request_elapsed_seconds_median,,,,197.74112815299304
overall,,,,,,timing,request_elapsed_seconds_min,,,,51.316353222006
overall,,,,,,timing,request_elapsed_seconds_max,,,,621.0225991950138
overall,,,,,,timing,request_elapsed_seconds_sum,,,,1637.3503075481276
overall,,,,,,timing,llm_elapsed_seconds_mean,,,,233.90718679258967
overall,,,,,,timing,llm_elapsed_seconds_median,,,,197.74112815299304
overall,,,,,,timing,llm_elapsed_seconds_min,,,,51.316353222006
overall,,,,,,timing,llm_elapsed_seconds_max,,,,621.0225991950138
overall,,,,,,timing,llm_elapsed_seconds_sum,,,,1637.3503075481276
overall,,,,,,timing,llm_elapsed_seconds_total_mean,,,,233.90718679258967
overall,,,,,,timing,llm_elapsed_seconds_total_median,,,,197.74112815299304
overall,,,,,,timing,llm_elapsed_seconds_total_min,,,,51.316353222006
overall,,,,,,timing,llm_elapsed_seconds_total_max,,,,621.0225991950138
overall,,,,,,timing,llm_elapsed_seconds_total_sum,,,,1637.3503075481276
overall,,,,,,timing,retry_wait_seconds_total_mean,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_median,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_min,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_max,,,,0.0
overall,,,,,,timing,retry_wait_seconds_total_sum,,,,0.0
overall,,,,,,usage,prompt_tokens_mean,,,,2949.285714285714
overall,,,,,,usage,prompt_tokens_median,,,,2889.0
overall,,,,,,usage,prompt_tokens_min,,,,2488.0
overall,,,,,,usage,prompt_tokens_max,,,,3716.0
overall,,,,,,usage,prompt_tokens_sum,,,,20645.0
overall,,,,,,usage,completion_tokens_mean,,,,14333.42857142857
overall,,,,,,usage,completion_tokens_median,,,,17022.0
overall,,,,,,usage,completion_tokens_min,,,,4184.0
overall,,,,,,usage,completion_tokens_max,,,,25062.0
overall,,,,,,usage,completion_tokens_sum,,,,100334.0
overall,,,,,,usage,reasoning_tokens_mean,,,,12034.42857142857
overall,,,,,,usage,reasoning_tokens_median,,,,10519.0
overall,,,,,,usage,reasoning_tokens_min,,,,2327.0
overall,,,,,,usage,reasoning_tokens_max,,,,25023.0
overall,,,,,,usage,reasoning_tokens_sum,,,,84241.0
overall,,,,,,usage,total_tokens_mean,,,,17282.714285714286
overall,,,,,,usage,total_tokens_median,,,,19911.0
overall,,,,,,usage,total_tokens_min,,,,6672.0
overall,,,,,,usage,total_tokens_max,,,,27788.0
overall,,,,,,usage,total_tokens_sum,,,,120979.0
overall,,,,,,quality,rack_symbols_used_mean,,,,5.0
overall,,,,,,quality,rack_symbols_used_median,,,,5.0
overall,,,,,,quality,rack_symbols_used_min,,,,5.0
overall,,,,,,quality,rack_symbols_used_max,,,,5.0
overall,,,,,,quality,rack_symbols_used_sum,,,,35.0
overall,,,,,,quality,rack_usage_ratio_mean,,,,1.0
overall,,,,,,quality,rack_usage_ratio_median,,,,1.0
overall,,,,,,quality,rack_usage_ratio_min,,,,1.0
overall,,,,,,quality,rack_usage_ratio_max,,,,1.0
overall,,,,,,quality,rack_usage_ratio_sum,,,,7.0
overall,,,,,,quality,main_word_length_mean,,,,6.0
overall,,,,,,quality,main_word_length_median,,,,6.0
overall,,,,,,quality,main_word_length_min,,,,6.0
overall,,,,,,quality,main_word_length_max,,,,6.0
overall,,,,,,quality,main_word_length_sum,,,,36.0
overall,,,,,,quality,overlap_count_mean,,,,1.0
overall,,,,,,quality,overlap_count_median,,,,1.0
overall,,,,,,quality,overlap_count_min,,,,1.0
overall,,,,,,quality,overlap_count_max,,,,1.0
overall,,,,,,quality,overlap_count_sum,,,,6.0
overall,,,,,,quality,letter_score_total_mean,,,,13.0
overall,,,,,,quality,letter_score_total_median,,,,13.0
overall,,,,,,quality,letter_score_total_min,,,,13.0
overall,,,,,,quality,letter_score_total_max,,,,13.0
overall,,,,,,quality,letter_score_total_sum,,,,78.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,passed,1,1,1.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,failed,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,outcome,transport_errors,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,format_robust,passed,1,1,1.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,format_robust,recovered,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,parse_ok,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,sequence_valid,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,min_length_fulfilled,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,spatial_valid,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,overlap_valid,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,no_word_extension,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,cross_words_valid,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,failed_constraint,rack_valid,0,1,0.0,
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_mean,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_median,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_min,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_max,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,request_elapsed_seconds_sum,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_mean,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_median,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_min,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_max,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_sum,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_mean,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_median,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_min,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_max,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,llm_elapsed_seconds_total_sum,,,,197.74112815299304
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_mean,,,,0.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_median,,,,0.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_min,,,,0.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_max,,,,0.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,timing,retry_wait_seconds_total_sum,,,,0.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_mean,,,,3716.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_median,,,,3716.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_min,,,,3716.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_max,,,,3716.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,prompt_tokens_sum,,,,3716.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_mean,,,,18151.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_median,,,,18151.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_min,,,,18151.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_max,,,,18151.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,completion_tokens_sum,,,,18151.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_mean,,,,2327.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_median,,,,2327.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_min,,,,2327.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_max,,,,2327.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,reasoning_tokens_sum,,,,2327.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_mean,,,,21867.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_median,,,,21867.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_min,,,,21867.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_max,,,,21867.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,usage,total_tokens_sum,,,,21867.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,quality,rack_symbols_used_mean,,,,5.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,quality,rack_symbols_used_median,,,,5.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,quality,rack_symbols_used_min,,,,5.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,quality,rack_symbols_used_max,,,,5.0
group,0,or_claude-opus-4-8,forbidden-snippets,xhigh,,quality,rack_symbols_used_sum,,,,5.0
